Date,Open,Low,High,Close,Volume
"Aug 22, 2017",2433.75,2433.67,2454.77,2452.51,"1,588,714,000"
"Aug 18, 2017",2427.64,2420.69,2440.27,2425.55,"1,962,081,000"
"Aug 17, 2017",2462.95,2430.01,2465.02,2430.01,"1,929,351,000"
"Aug 15, 2017",2468.66,2461.61,2468.9,2464.61,"1,689,634,000"
"Aug 14, 2017",2454.96,2454.96,2468.22,2465.84,"1,586,224,000"
"Aug 10, 2017",2465.38,2437.75,2465.38,2438.21,"2,079,315,000"
"Aug 09, 2017",2465.35,2462.08,2474.41,2474.02,"1,821,056,000"
"Aug 08, 2017",2478.35,2470.32,2490.87,2474.92,"1,826,291,000"
"Aug 04, 2017",2476.88,2472.08,2480,2476.83,"1,869,114,000"
"Aug 03, 2017",2476.03,2468.85,2476.03,2472.16,"2,039,487,000"
"Aug 01, 2017",2477.1,2471.14,2478.51,2476.35,"2,076,284,000"
"Jul 31, 2017",2475.94,2468.53,2477.96,2470.3,"2,189,634,000"
"Jul 28, 2017",2469.12,2464.66,2473.53,2472.1,"2,043,354,000"
"Jul 26, 2017",2479.97,2474.94,2481.69,2477.83,"2,261,843,000"
"Jul 25, 2017",2477.88,2474.91,2481.24,2477.13,"2,373,902,000"
"Jul 21, 2017",2467.4,2465.06,2472.54,2472.54,"1,946,505,000"
"Jul 20, 2017",2475.56,2468.43,2477.62,2473.45,"1,993,809,000"
"Jul 19, 2017",2463.85,2463.85,2473.83,2473.83,"1,849,694,000"
"Jul 17, 2017",2459.5,2457.16,2462.82,2459.14,"1,655,943,000"
"Jul 14, 2017",2449.16,2446.69,2463.54,2459.27,"1,667,639,000"
"Jul 12, 2017",2435.75,2435.75,2445.76,2443.25,"1,856,436,000"
"Jul 11, 2017",2427.35,2412.79,2429.3,2425.53,"1,732,498,000"
"Jul 10, 2017",2424.51,2422.27,2432,2427.43,"1,767,991,000"
"Jul 06, 2017",2423.44,2407.7,2424.28,2409.75,"2,021,301,000"
"Jul 05, 2017",2430.78,2422.05,2434.9,2432.54,"2,001,772,000"
"Jun 30, 2017",2429.2,2421.65,2432.71,2423.41,"2,068,473,000"
"Jun 29, 2017",2442.38,2405.7,2442.73,2419.7,"2,437,153,000"
"Jun 28, 2017",2428.7,2428.02,2442.97,2440.69,"1,978,838,000"
"Jun 26, 2017",2443.32,2437.03,2450.42,2439.07,"1,807,411,000"
"Jun 23, 2017",2434.65,2431.11,2441.4,2438.3,"2,954,291,000"
"Jun 21, 2017",2439.31,2430.74,2442.23,2435.61,"2,194,973,000"
"Jun 20, 2017",2450.66,2436.6,2450.66,2437.03,"1,981,273,000"
"Jun 16, 2017",2431.24,2422.88,2433.15,2433.15,"3,474,906,000"
"Jun 15, 2017",2424.14,2418.53,2433.95,2432.46,"2,056,413,000"
"Jun 14, 2017",2443.75,2428.34,2443.75,2437.92,"2,077,561,000"
"Jun 12, 2017",2425.88,2419.97,2430.38,2429.39,"2,715,835,000"
"Jun 09, 2017",2436.39,2415.7,2446.2,2431.77,"2,624,858,000"
"Jun 07, 2017",2432.03,2424.75,2435.28,2433.14,"2,087,406,000"
"Jun 06, 2017",2431.92,2428.12,2436.21,2429.33,"1,972,388,000"
"Jun 05, 2017",2437.83,2434.32,2439.55,2436.1,"1,742,363,000"
"Jun 01, 2017",2415.65,2413.54,2430.06,2430.06,"2,156,065,000"
"May 31, 2017",2415.63,2403.59,2415.99,2411.8,"2,610,802,000"
"May 26, 2017",2414.5,2412.2,2416.68,2415.82,"1,524,512,000"
"May 25, 2017",2409.54,2408.01,2418.71,2415.07,"2,010,590,000"
"May 24, 2017",2401.41,2397.99,2405.58,2404.39,"1,797,590,000"
"May 22, 2017",2387.21,2386.92,2395.46,2394.02,"1,858,439,000"
"May 19, 2017",2371.37,2370.43,2389.06,2381.73,"2,249,728,000"
"May 17, 2017",2382.95,2356.21,2384.87,2357.03,"2,717,639,000"
"May 16, 2017",2404.55,2396.05,2405.77,2400.67,"2,039,120,000"
"May 15, 2017",2393.98,2393.94,2404.05,2402.32,"1,896,371,000"
"May 11, 2017",2394.84,2381.74,2395.72,2394.44,"2,024,700,000"
"May 10, 2017",2396.79,2392.79,2399.74,2399.63,"1,985,193,000"
"May 08, 2017",2399.94,2393.92,2401.36,2399.38,"1,845,375,000"
"May 05, 2017",2392.37,2389.38,2399.29,2399.29,"1,823,790,000"
"May 03, 2017",2386.5,2379.75,2389.82,2388.13,"2,270,224,000"
"May 02, 2017",2391.05,2385.82,2392.93,2391.17,"2,371,689,000"
"May 01, 2017",2388.5,2384.83,2394.49,2388.33,"1,893,003,000"
"Apr 27, 2017",2389.7,2382.68,2392.1,2388.77,"2,205,559,000"
"Apr 26, 2017",2388.98,2386.76,2398.16,2387.45,"2,223,616,000"
"Apr 24, 2017",2370.33,2369.19,2376.98,2374.15,"2,248,662,000"
"Apr 21, 2017",2354.74,2344.51,2356.18,2348.69,"2,071,759,000"
"Apr 20, 2017",2342.69,2340.91,2361.37,2355.84,"2,089,716,000"
"Apr 18, 2017",2342.53,2334.54,2348.35,2342.19,"1,903,471,000"
"Apr 17, 2017",2332.62,2332.51,2349.14,2349.01,"1,626,264,000"
"Apr 12, 2017",2352.15,2341.18,2352.72,2344.93,"1,897,910,000"
"Apr 11, 2017",2353.92,2337.25,2355.22,2353.78,"1,817,530,000"
"Apr 10, 2017",2357.16,2351.5,2366.37,2357.16,"1,620,329,000"
"Apr 06, 2017",2353.79,2348.9,2364.16,2357.49,"1,936,974,000"
"Apr 05, 2017",2366.59,2350.52,2378.36,2352.95,"2,104,798,000"
"Apr 03, 2017",2362.34,2344.73,2365.87,2358.84,"2,182,258,000"
"Mar 31, 2017",2364.82,2362.6,2370.35,2362.72,"1,997,044,000"
"Mar 30, 2017",2361.31,2358.58,2370.42,2368.06,"1,848,896,000"
"Mar 28, 2017",2339.79,2337.63,2363.78,2358.57,"1,951,314,000"
